,id,date,open,high,low,close,month,tpv,sma_tpv_3_,mad_3_,cci_3,sma_tpv_5_,mad_5_,cci_5,sma_tpv_9_,mad_9_,cci_9,momentum_3,momentum_5,momentum_7,momentum_9,stoc_3_low,stoc_range_3,sto_3,stoc_5_low,stoc_range_5,sto_5,stoc_7_low,stoc_range_7,sto_7,up,down,up_avg_3,down_avg_3,relative_s_3,rsi_3,up_avg_5,down_avg_5,relative_s_5,rsi_5,up_avg_7,down_avg_7,relative_s_7,rsi_7,slow_9_,slow_7_,slow_5_,fast_3_,macd_5_3,macd_7_3,macd_7_5,macd_9_3,1d_r,2d_r,nextdret_predicted,nextdret_predicted_labels,nextdret_relative_probability
0,1,3/31/1983,29.4,29.6,29.25,29.27,3.0,29.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0.9575158506357607
1,2,4/4/1983,29.3,29.7,29.29,29.44,4.0,29.48,,,,,,,,,,,,,,,,,,,,,,,17.0,0.0,,,,,,,,,,,,,,,,,,,,,0.58,,1,1,0.9575158506357607
2,3,4/5/1983,29.5,29.8,29.5,29.71,4.0,29.67,29.51,0.109,100.0,,,,,,,1.5,,,,,,,,,,,,,27.0,0.0,,,,,,,,,,,,,,,,29.473000000000006,,,,,0.92,1.5,1,1,0.9714906441583551
3,4,4/6/1983,29.9,29.92,29.65,29.9,4.0,29.82,29.66,0.12,92.59,,,,,,,1.56,,,,0.46,0.46,100.0,,,,,,,19.0,0.0,21.0,0.0,21.0,95.45,,,,,,,,,,,,29.683000000000003,,,,,0.64,1.56,1,1,0.956834831021869
4,5,4/7/1983,29.92,30.2,29.86,30.17,4.0,30.08,29.86,0.147,100.0,29.68,0.213,123.02,,,,1.55,3.07,,,0.46,0.46,100.0,0.61,0.9,67.78,,,,27.0,0.0,24.33,0.0,24.33,96.05,,,,,,,,,,,29.698,29.927,22.87,,,,0.9,1.55,1,1,0.7980418945107486
5,6,4/8/1983,30.65,30.65,30.25,30.38,4.0,30.43,30.11,0.212,100.0,29.89,0.28600000000000003,124.18,,,,1.61,3.19,,,0.48,0.48,100.0,0.96,0.94,102.13,,,,21.0,0.0,22.33,0.0,22.33,95.71,22.2,0.0,7.0,87.5,,,,,,,29.92,30.15,23.0,,,,0.7,1.61,1,1,0.6706758836878856
6,7,4/11/1983,30.4,30.41,30.0,30.25,4.0,30.22,30.24,0.124,-11.38,30.04,0.237,49.63,,,,0.27,1.82,3.35,,0.08,0.21,38.1,0.5,0.67,74.63,0.98,1.0,98.0,0.0,13.0,16.0,4.33,3.69,78.69,18.8,2.6,7.23,87.85,,,,,,29.874,30.082,30.267,18.47,39.24,20.77,,-0.43,0.27,1,1,0.8477300180275548
7,8,4/12/1983,30.5,31.0,30.5,30.83,4.0,30.78,30.47,0.201,100.0,30.26,0.27,126.61,,,,1.48,3.11,4.72,,0.58,0.58,100.0,0.85,0.93,91.4,1.39,1.21,114.88,58.0,0.0,26.33,4.33,6.08,85.87,25.0,2.6,9.62,90.58,24.14,1.86,13.0,92.86,,30.097,30.306,30.487,18.07,38.95,20.89,,1.92,1.48,1,1,0.9437000651067203
8,9,4/13/1983,30.6,30.95,30.6,30.82,4.0,30.79,30.6,0.25,51.78,30.46,0.26,85.04,30.07,0.431,111.39,1.88,2.15,3.74,5.3,0.57,0.58,98.28,0.74,0.66,112.12,1.11,1.1,100.91,0.0,1.0,19.33,4.67,4.14,80.56,21.2,2.8,7.57,88.33,21.71,2.0,10.86,91.57,30.09,30.294,30.49,30.633000000000006,14.33,33.9,19.57,54.78,-0.03,1.88,1,1,0.5115829665829696
9,10,4/14/1983,30.7,30.86,30.65,30.82,4.0,30.78,30.78,0.006,-50.0,30.6,0.22,54.21,30.23,0.414,88.54,-0.03,1.45,3.08,4.69,0.0,0.01,0.0,0.65,0.58,112.07,0.92,1.0,92.0,0.0,0.0,19.33,0.33,58.0,98.31,15.8,2.8,5.64,84.95,17.86,2.0,8.93,89.93,30.26,30.453000000000007,30.62,30.823,20.33,37.05,16.71,56.56,0.0,-0.03,0,0,0.3450637745574882
